######## Chromosome chr1 #########

gene 1/5050 for chr1:	DDX11L1
gene 1533/2921 for chr3:	RP11-553L6.3
gene 1534/2921 for chr3:	ZNF80
gene 1535/2921 for chr3:	TIGIT
gene 1536/2921 for chr3:	ZBTB20
gene 1537/2921 for chr3:	MIR568
gene 1538/2921 for chr3:	ZBTB20-AS1
gene 1539/2921 for chr3:	RP11-197K3.1
gene 1540/2921 for chr3:	ZBTB20-AS2
gene 1541/2921 for chr3:	MIR4796
gene 1542/2921 for chr3:	ZBTB20-AS3
gene 1543/2921 for chr3:	YBX1P3
gene 1544/2921 for chr3:	ZBTB20-AS4
gene 1545/2921 for chr3:	AC069063.1
gene 1546/2921 for chr3:	AC069063.2
gene 1547/2921 for chr3:	RP11-190P13.2
gene 1548/2921 for chr3:	EIF4E2P2
gene 1549/2921 for chr3:	GAP43
gene 1550/2921 for chr3:	RP11-326J18.1
gene 1551/2921 for chr3:	LSAMP
gene 1552/2921 for chr3:	RN7SL815P
gene 1553/2921 for chr3:	LSAMP-AS1
gene 1554/2921 for chr3:	LINC00903
gene 1555/2921 for chr3:	RN7SL582P
gene 1556/2921 for chr3:	BZW1P2
gene 1557/2921 for chr3:	TUSC7
gene 1558/2921 for chr3:	MIR4447
gene 1559/2921 for chr3:	LINC00901
gene 1560/2921 for chr3:	RNU5E-8P
gene 1561/2921 for chr3:	PTMAP8
gene 1562/2921 for chr3:	RNU6-1200P
gene 1563/2921 for chr3:	RP11-384F7.2
gene 1564/2921 for chr3:	RP11-768G7.1
gene 1565/2921 for chr3:	RP11-768G7.2
gene 1566/2921 for chr3:	RP11-768G7.3
gene 1567/2921 for chr3:	RP11-384F7.1
gene 1568/2921 for chr3:	IGSF11
gene 1569/2921 for chr3:	IGSF11-AS1
gene 1570/2921 for chr3:	C3orf30
gene 1571/2921 for chr3:	RP11-484M3.5
gene 1572/2921 for chr3:	UPK1B
gene 1573/2921 for chr3:	B4GALT4
gene 1574/2921 for chr3:	B4GALT4-AS1
gene 1575/2921 for chr3:	ARHGAP31
gene 1576/2921 for chr3:	RPS26P21
gene 1577/2921 for chr3:	ARHGAP31-AS1
gene 1578/2921 for chr3:	RNU6-1127P
gene 1579/2921 for chr3:	TMEM39A
gene 1580/2921 for chr3:	POGLUT1
gene 1581/2921 for chr3:	RP11-190C22.8
gene 1582/2921 for chr3:	TIMMDC1
gene 1583/2921 for chr3:	CD80
gene 1584/2921 for chr3:	RP11-190C22.9
gene 1585/2921 for chr3:	ADPRH
gene 1586/2921 for chr3:	PLA1A
gene 1587/2921 for chr3:	RPL10P7
gene 1588/2921 for chr3:	POPDC2
gene 1589/2921 for chr3:	COX17
gene 1590/2921 for chr3:	MAATS1
gene 1591/2921 for chr3:	RP11-169N13.4
gene 1592/2921 for chr3:	NR1I2
gene 1593/2921 for chr3:	PHBP8
gene 1594/2921 for chr3:	GSK3B
gene 1595/2921 for chr3:	RP11-767L7.1
gene 1596/2921 for chr3:	RP11-767L7.2
gene 1597/2921 for chr3:	RP11-18H7.1
gene 1598/2921 for chr3:	RN7SL762P
gene 1599/2921 for chr3:	RN7SL397P
gene 1600/2921 for chr3:	GPR156
gene 1601/2921 for chr3:	RP11-174O3.1
gene 1602/2921 for chr3:	LRRC58
gene 1603/2921 for chr3:	RP11-174O3.3
gene 1604/2921 for chr3:	RP11-174O3.6
gene 1605/2921 for chr3:	RP11-174O3.4
gene 1606/2921 for chr3:	FSTL1
gene 1607/2921 for chr3:	RP11-359H3.4
gene 1608/2921 for chr3:	RP11-359H3.1
gene 1609/2921 for chr3:	NDUFB4
gene 1610/2921 for chr3:	HGD
gene 1611/2921 for chr3:	RABL3
gene 1612/2921 for chr3:	MTCO1P29
gene 1613/2921 for chr3:	MTCO2P29
gene 1614/2921 for chr3:	GTF2E1
gene 1615/2921 for chr3:	NAP1L1P3
gene 1616/2921 for chr3:	RP11-500K19.1
gene 1617/2921 for chr3:	STXBP5L
gene 1618/2921 for chr3:	RP11-500K19.2
gene 1619/2921 for chr3:	MIR5682
gene 1620/2921 for chr3:	RP11-678L1.1
gene 1621/2921 for chr3:	RP11-10G15.4
gene 1622/2921 for chr3:	POLQ
gene 1623/2921 for chr3:	RPL7AP11
gene 1624/2921 for chr3:	ARGFX
gene 1625/2921 for chr3:	FBXO40
gene 1626/2921 for chr3:	HCLS1
gene 1627/2921 for chr3:	RN7SL172P
gene 1628/2921 for chr3:	RNU4-62P
gene 1629/2921 for chr3:	GOLGB1
gene 1630/2921 for chr3:	IQCB1
gene 1631/2921 for chr3:	EAF2
gene 1632/2921 for chr3:	SLC15A2
gene 1633/2921 for chr3:	ILDR1
gene 1634/2921 for chr3:	CD86
gene 1635/2921 for chr3:	CASR
gene 1636/2921 for chr3:	HNRNPA1P23
gene 1637/2921 for chr3:	CSTA
gene 1638/2921 for chr3:	CCDC58
gene 1639/2921 for chr3:	FAM162A
gene 1640/2921 for chr3:	WDR5B
gene 1641/2921 for chr3:	RP11-299J3.8
gene 1642/2921 for chr3:	RP11-299J3.6
gene 1643/2921 for chr3:	KPNA1
gene 1644/2921 for chr3:	RP11-592P9.3
gene 1645/2921 for chr3:	PARP9
gene 1646/2921 for chr3:	DTX3L
gene 1647/2921 for chr3:	PARP15
gene 1648/2921 for chr3:	EIF4BP8
gene 1649/2921 for chr3:	PARP14
gene 1650/2921 for chr3:	HSPBAP1
gene 1651/2921 for chr3:	DIRC2
gene 1652/2921 for chr3:	RP11-67L2.2
gene 1653/2921 for chr3:	SEMA5B
gene 1654/2921 for chr3:	PDIA5
gene 1655/2921 for chr3:	SEC22A
gene 1656/2921 for chr3:	RP11-797D24.3
gene 1657/2921 for chr3:	ADCY5
gene 1658/2921 for chr3:	RP11-797D24.4
gene 1659/2921 for chr3:	HACD2
gene 1660/2921 for chr3:	MYLK-AS1
gene 1661/2921 for chr3:	MYLK
gene 1662/2921 for chr3:	MYLK-AS2
gene 1663/2921 for chr3:	RP11-9N20.3
gene 1664/2921 for chr3:	SNORA5
gene 1665/2921 for chr3:	CCDC14
gene 1666/2921 for chr3:	ROPN1
gene 1667/2921 for chr3:	KALRN
gene 1668/2921 for chr3:	MIR5002
gene 1669/2921 for chr3:	RPL7P15
gene 1670/2921 for chr3:	MIR6083
gene 1671/2921 for chr3:	RNU6-143P
gene 1672/2921 for chr3:	RP11-71H17.7
gene 1673/2921 for chr3:	UMPS
gene 1674/2921 for chr3:	MIR544B
gene 1675/2921 for chr3:	RP11-71H17.1
gene 1676/2921 for chr3:	ITGB5
gene 1677/2921 for chr3:	ITGB5-AS1
gene 1678/2921 for chr3:	RP11-71H17.8
gene 1679/2921 for chr3:	7SK
gene 1680/2921 for chr3:	ENO1P3
gene 1681/2921 for chr3:	MUC13
gene 1682/2921 for chr3:	HEG1
gene 1683/2921 for chr3:	RNA5SP137
gene 1684/2921 for chr3:	SLC12A8
gene 1685/2921 for chr3:	RNU6-230P
gene 1686/2921 for chr3:	MIR5092
gene 1687/2921 for chr3:	ZNF148
gene 1688/2921 for chr3:	DUTP1
gene 1689/2921 for chr3:	RP11-775J23.2
gene 1690/2921 for chr3:	RNU6-232P
gene 1691/2921 for chr3:	SNX4
gene 1692/2921 for chr3:	OSBPL11
gene 1693/2921 for chr3:	GS1-388B5.2
gene 1694/2921 for chr3:	GS1-388B5.1
gene 1695/2921 for chr3:	OR7E130P
gene 1696/2921 for chr3:	OR7E29P
gene 1697/2921 for chr3:	OR7E93P
gene 1698/2921 for chr3:	OR7E53P
gene 1699/2921 for chr3:	OR7E97P
gene 1700/2921 for chr3:	GS1-388B5.8
gene 1701/2921 for chr3:	RP11-379B18.6
gene 1702/2921 for chr3:	RP11-379B18.1
gene 1703/2921 for chr3:	MIR548I1
gene 1704/2921 for chr3:	RPS3AP14
gene 1705/2921 for chr3:	SNRPCP11
gene 1706/2921 for chr3:	RP11-379B18.5
gene 1707/2921 for chr3:	ENPP7P4
gene 1708/2921 for chr3:	RP11-666A20.4
gene 1709/2921 for chr3:	FAM86JP
gene 1710/2921 for chr3:	ALG1L
gene 1711/2921 for chr3:	RP11-666A20.3
gene 1712/2921 for chr3:	ROPN1B
gene 1713/2921 for chr3:	SLC41A3
gene 1714/2921 for chr3:	RP11-158I23.1
gene 1715/2921 for chr3:	RP11-124N2.1
gene 1716/2921 for chr3:	ALDH1L1
gene 1717/2921 for chr3:	ALDH1L1-AS1
gene 1718/2921 for chr3:	RNU1-30P
gene 1719/2921 for chr3:	ALDH1L1-AS2
gene 1720/2921 for chr3:	RP11-71E19.1
gene 1721/2921 for chr3:	RP11-71E19.2
gene 1722/2921 for chr3:	KLF15
gene 1723/2921 for chr3:	CCDC37-AS1
gene 1724/2921 for chr3:	CFAP100
gene 1725/2921 for chr3:	RP11-203H19.2
gene 1726/2921 for chr3:	ZXDC
gene 1727/2921 for chr3:	UROC1
gene 1728/2921 for chr3:	CHST13
gene 1729/2921 for chr3:	C3orf22
gene 1730/2921 for chr3:	RNA5SP138
gene 1731/2921 for chr3:	TXNRD3NB
gene 1732/2921 for chr3:	TXNRD3
gene 1733/2921 for chr3:	RP11-390G14.1
gene 1734/2921 for chr3:	NUP210P1
gene 1735/2921 for chr3:	RP11-605F14.2
gene 1736/2921 for chr3:	CHCHD6
gene 1737/2921 for chr3:	RCC2P4
gene 1738/2921 for chr3:	RP11-61K12.2
gene 1739/2921 for chr3:	PLXNA1
gene 1740/2921 for chr3:	C3orf56
gene 1741/2921 for chr3:	RP11-305F5.2
gene 1742/2921 for chr3:	RNU6-1047P
gene 1743/2921 for chr3:	RP11-88I21.1
gene 1744/2921 for chr3:	RP11-88I21.2
gene 1745/2921 for chr3:	LINC01471
gene 1746/2921 for chr3:	RP11-59J16.2
gene 1747/2921 for chr3:	RP11-59J16.3
gene 1748/2921 for chr3:	RP11-153F10.2
gene 1749/2921 for chr3:	TPRA1
gene 1750/2921 for chr3:	MIR6825
gene 1751/2921 for chr3:	MIR7976
gene 1752/2921 for chr3:	MCM2
gene 1753/2921 for chr3:	PODXL2
gene 1754/2921 for chr3:	ABTB1
gene 1755/2921 for chr3:	MGLL
gene 1756/2921 for chr3:	KBTBD12
gene 1757/2921 for chr3:	RNA5SP139
gene 1758/2921 for chr3:	SEC61A1
gene 1759/2921 for chr3:	RUVBL1
gene 1760/2921 for chr3:	RNU2-37P
gene 1761/2921 for chr3:	RUVBL1-AS1
gene 1762/2921 for chr3:	RNU6-823P
gene 1763/2921 for chr3:	EEFSEC
gene 1764/2921 for chr3:	DNAJB8
gene 1765/2921 for chr3:	DNAJB8-AS1
gene 1766/2921 for chr3:	GATA2
gene 1767/2921 for chr3:	GATA2-AS1
gene 1768/2921 for chr3:	TMED10P2
gene 1769/2921 for chr3:	LINC01565
gene 1770/2921 for chr3:	RPN1
gene 1771/2921 for chr3:	POU5F1P6
gene 1772/2921 for chr3:	SNORA24
gene 1773/2921 for chr3:	RAB7A
gene 1774/2921 for chr3:	MARK2P8
gene 1775/2921 for chr3:	FTH1P4
gene 1776/2921 for chr3:	RN7SL698P
gene 1777/2921 for chr3:	RPS15AP16
gene 1778/2921 for chr3:	MARK2P17
gene 1779/2921 for chr3:	MARK3P3
gene 1780/2921 for chr3:	MARK2P6
gene 1781/2921 for chr3:	RP11-723O4.9
gene 1782/2921 for chr3:	RP11-723O4.2
gene 1783/2921 for chr3:	RP11-723O4.3
gene 1784/2921 for chr3:	ACAD9
gene 1785/2921 for chr3:	KIAA1257
gene 1786/2921 for chr3:	RP11-723O4.6
gene 1787/2921 for chr3:	RP11-723O4.7
gene 1788/2921 for chr3:	EFCC1
gene 1789/2921 for chr3:	RP11-434H6.2
gene 1790/2921 for chr3:	GP9
gene 1791/2921 for chr3:	RAB43
gene 1792/2921 for chr3:	ISY1-RAB43
gene 1793/2921 for chr3:	RP11-434H6.6
gene 1794/2921 for chr3:	ISY1
gene 1795/2921 for chr3:	RP11-434H6.7
gene 1796/2921 for chr3:	CNBP
gene 1797/2921 for chr3:	RPS27P12
gene 1798/2921 for chr3:	COPG1
gene 1799/2921 for chr3:	MIR6826
gene 1800/2921 for chr3:	HMCES
gene 1801/2921 for chr3:	H1FX
gene 1802/2921 for chr3:	H1FX-AS1
gene 1803/2921 for chr3:	NUP210P3
gene 1804/2921 for chr3:	RP13-685P2.8
gene 1805/2921 for chr3:	RP13-685P2.7
gene 1806/2921 for chr3:	RP11-529F4.1
gene 1807/2921 for chr3:	RPL32P3
gene 1808/2921 for chr3:	SNORA7B
gene 1809/2921 for chr3:	EFCAB12
gene 1810/2921 for chr3:	MBD4
gene 1811/2921 for chr3:	IFT122
gene 1812/2921 for chr3:	RHO
gene 1813/2921 for chr3:	H1FOO
gene 1814/2921 for chr3:	PLXND1
gene 1815/2921 for chr3:	RN7SL752P
gene 1816/2921 for chr3:	RP11-263I1.1
gene 1817/2921 for chr3:	TMCC1
gene 1818/2921 for chr3:	RNY3P13
gene 1819/2921 for chr3:	U6
gene 1820/2921 for chr3:	RP11-332M2.1
gene 1821/2921 for chr3:	TMCC1-AS1
gene 1822/2921 for chr3:	RP11-93K22.6
gene 1823/2921 for chr3:	TRH
gene 1824/2921 for chr3:	RP11-93K22.1
gene 1825/2921 for chr3:	RP11-93K22.7
gene 1826/2921 for chr3:	OR7E129P
gene 1827/2921 for chr3:	OR7E21P
gene 1828/2921 for chr3:	RP11-77P16.3
gene 1829/2921 for chr3:	ALG1L2
gene 1830/2921 for chr3:	RP11-93K22.13
gene 1831/2921 for chr3:	FAM86HP
gene 1832/2921 for chr3:	RP11-77P16.4
gene 1833/2921 for chr3:	ENPP7P3
gene 1834/2921 for chr3:	SNRPCP8
gene 1835/2921 for chr3:	COL6A4P2
gene 1836/2921 for chr3:	RP11-77P16.1
gene 1837/2921 for chr3:	COL6A5
gene 1838/2921 for chr3:	COL6A6
gene 1839/2921 for chr3:	PIK3R4
gene 1840/2921 for chr3:	RN7SKP212
gene 1841/2921 for chr3:	GSTO3P
gene 1842/2921 for chr3:	ATP2C1
gene 1843/2921 for chr3:	AC055733.1
gene 1844/2921 for chr3:	RP11-39E3.3
gene 1845/2921 for chr3:	RP11-39E3.4
gene 1846/2921 for chr3:	RP11-39E3.5
gene 1847/2921 for chr3:	ASTE1
gene 1848/2921 for chr3:	NEK11
gene 1849/2921 for chr3:	RP11-265F19.1
gene 1850/2921 for chr3:	RNU6-726P
gene 1851/2921 for chr3:	RP11-933H2.4
gene 1852/2921 for chr3:	NUDT16P1
gene 1853/2921 for chr3:	NUDT16
gene 1854/2921 for chr3:	RP11-517B11.7
gene 1855/2921 for chr3:	MRPL3
gene 1856/2921 for chr3:	SNORA58
gene 1857/2921 for chr3:	RP11-517B11.4
gene 1858/2921 for chr3:	BCL2L12P1
gene 1859/2921 for chr3:	CPNE4
gene 1860/2921 for chr3:	RP11-517B11.6
gene 1861/2921 for chr3:	MIR5704
gene 1862/2921 for chr3:	RP11-64K7.1
gene 1863/2921 for chr3:	RPL7P16
gene 1864/2921 for chr3:	ACPP
gene 1865/2921 for chr3:	RP11-65E22.2
gene 1866/2921 for chr3:	NIP7P2
gene 1867/2921 for chr3:	DNAJC13
gene 1868/2921 for chr3:	ACAD11
gene 1869/2921 for chr3:	NPHP3-ACAD11
gene 1870/2921 for chr3:	ACKR4
gene 1871/2921 for chr3:	HSPA8P19
gene 1872/2921 for chr3:	UBA5
gene 1873/2921 for chr3:	NPHP3
gene 1874/2921 for chr3:	NPHP3-AS1
gene 1875/2921 for chr3:	RP11-469L4.1
gene 1876/2921 for chr3:	TMEM108
gene 1877/2921 for chr3:	TMEM108-AS1
gene 1878/2921 for chr3:	BFSP2
gene 1879/2921 for chr3:	RP11-503I22.2
gene 1880/2921 for chr3:	BFSP2-AS1
gene 1881/2921 for chr3:	RP11-91K8.4
gene 1882/2921 for chr3:	RP11-91K8.5
gene 1883/2921 for chr3:	RP11-91K8.2
gene 1884/2921 for chr3:	SNORA33
gene 1885/2921 for chr3:	CDV3
gene 1886/2921 for chr3:	TOPBP1
gene 1887/2921 for chr3:	TFP1
gene 1888/2921 for chr3:	RNU6-678P
gene 1889/2921 for chr3:	RNA5SP140
gene 1890/2921 for chr3:	TF
gene 1891/2921 for chr3:	RP11-404G16.2
gene 1892/2921 for chr3:	SRPRB
gene 1893/2921 for chr3:	RAB6B
gene 1894/2921 for chr3:	C3orf36
gene 1895/2921 for chr3:	SLCO2A1
gene 1896/2921 for chr3:	RP11-202A13.1
gene 1897/2921 for chr3:	RYK
gene 1898/2921 for chr3:	HMGB3P14
gene 1899/2921 for chr3:	RP11-200A1.1
gene 1900/2921 for chr3:	RP11-375I20.6
gene 1901/2921 for chr3:	RPL39P5
gene 1902/2921 for chr3:	AMOTL2
gene 1903/2921 for chr3:	MIR6827
gene 1904/2921 for chr3:	HMGN1P9
gene 1905/2921 for chr3:	HMGB3P13
gene 1906/2921 for chr3:	ANAPC13
gene 1907/2921 for chr3:	CEP63
gene 1908/2921 for chr3:	RP11-445J14.1
gene 1909/2921 for chr3:	EPHB1
gene 1910/2921 for chr3:	KY
gene 1911/2921 for chr3:	RNU6-1174P
gene 1912/2921 for chr3:	RNA5SP141
gene 1913/2921 for chr3:	RP11-657O9.1
gene 1914/2921 for chr3:	RP11-237P21.1
gene 1915/2921 for chr3:	NDUFS6P1
gene 1916/2921 for chr3:	PPP2R3A
gene 1917/2921 for chr3:	RP11-305O4.2
gene 1918/2921 for chr3:	RP11-305O4.3
gene 1919/2921 for chr3:	MSL2
gene 1920/2921 for chr3:	TDGF1P6
gene 1921/2921 for chr3:	RP11-463H24.1
gene 1922/2921 for chr3:	PCCB
gene 1923/2921 for chr3:	STAG1
gene 1924/2921 for chr3:	RNU6-1284P
gene 1925/2921 for chr3:	HMGN1P10
gene 1926/2921 for chr3:	RNU6-789P
gene 1927/2921 for chr3:	RP11-102M11.1
gene 1928/2921 for chr3:	RP11-102M11.2
gene 1929/2921 for chr3:	RP11-731C17.1
gene 1930/2921 for chr3:	SLC35G2
gene 1931/2921 for chr3:	RP11-731C17.2
gene 1932/2921 for chr3:	NCK1-AS1
gene 1933/2921 for chr3:	NCK1
gene 1934/2921 for chr3:	RAD51AP1P1
gene 1935/2921 for chr3:	IL20RB
gene 1936/2921 for chr3:	IL20RB-AS1
gene 1937/2921 for chr3:	RNA5SP142
gene 1938/2921 for chr3:	RP11-575C1.1
gene 1939/2921 for chr3:	NPM1P17
gene 1940/2921 for chr3:	SOX14
gene 1941/2921 for chr3:	LINC01210
gene 1942/2921 for chr3:	RP11-2A4.4
gene 1943/2921 for chr3:	HSPA8P9
gene 1944/2921 for chr3:	CLDN18
gene 1945/2921 for chr3:	RP11-461M2.2
gene 1946/2921 for chr3:	DZIP1L
gene 1947/2921 for chr3:	KRT8P36
gene 1948/2921 for chr3:	A4GNT
gene 1949/2921 for chr3:	DBR1
gene 1950/2921 for chr3:	ARMC8
gene 1951/2921 for chr3:	NME9
gene 1952/2921 for chr3:	MRAS
gene 1953/2921 for chr3:	ESYT3
gene 1954/2921 for chr3:	RP11-80P20.3
gene 1955/2921 for chr3:	CEP70
gene 1956/2921 for chr3:	FAIM
gene 1957/2921 for chr3:	RP11-79L9.2
gene 1958/2921 for chr3:	PIK3CB
gene 1959/2921 for chr3:	GAPDHP39
gene 1960/2921 for chr3:	RPL23AP40
gene 1961/2921 for chr3:	EEF1A1P25
gene 1962/2921 for chr3:	ATP5G1P3
gene 1963/2921 for chr3:	LINC01391
gene 1964/2921 for chr3:	FOXL2
gene 1965/2921 for chr3:	FOXL2NB
gene 1966/2921 for chr3:	PRR23A
gene 1967/2921 for chr3:	MRPS22
gene 1968/2921 for chr3:	PRR23B
gene 1969/2921 for chr3:	PRR23C
gene 1970/2921 for chr3:	RPL7L1P7
gene 1971/2921 for chr3:	BPESC1
gene 1972/2921 for chr3:	PISRT1
gene 1973/2921 for chr3:	RP11-219D15.3
gene 1974/2921 for chr3:	COPB2
gene 1975/2921 for chr3:	RP11-319G6.1
gene 1976/2921 for chr3:	RBP2
gene 1977/2921 for chr3:	RP11-319G6.3
gene 1978/2921 for chr3:	ACTG1P1
gene 1979/2921 for chr3:	RBP1
gene 1980/2921 for chr3:	NMNAT3
gene 1981/2921 for chr3:	RP11-553K23.2
gene 1982/2921 for chr3:	RN7SKP124
gene 1983/2921 for chr3:	RN7SL724P
gene 1984/2921 for chr3:	RP11-442N1.2
gene 1985/2921 for chr3:	RP11-442N1.1
gene 1986/2921 for chr3:	RP11-166D18.1
gene 1987/2921 for chr3:	TRMT112P5
gene 1988/2921 for chr3:	CLSTN2
gene 1989/2921 for chr3:	RP11-68L1.2
gene 1990/2921 for chr3:	RP11-68L1.1
gene 1991/2921 for chr3:	CLSTN2-AS1
gene 1992/2921 for chr3:	RP11-13L2.1
gene 1993/2921 for chr3:	TRIM42
gene 1994/2921 for chr3:	RP11-691G17.1
gene 1995/2921 for chr3:	RPL23AP41
gene 1996/2921 for chr3:	SLC25A36
gene 1997/2921 for chr3:	RP11-231L11.3
gene 1998/2921 for chr3:	SPSB4
gene 1999/2921 for chr3:	RP11-231L11.1
gene 2000/2921 for chr3:	PXYLP1
gene 2001/2921 for chr3:	RP11-764I5.1
gene 2002/2921 for chr3:	RP11-438D8.2
gene 2003/2921 for chr3:	RP11-789L4.1
gene 2004/2921 for chr3:	ZBTB38
gene 2005/2921 for chr3:	KRT18P35
gene 2006/2921 for chr3:	RASA2
gene 2007/2921 for chr3:	AC010184.1
gene 2008/2921 for chr3:	RASA2-IT1
gene 2009/2921 for chr3:	YWHAQP6
gene 2010/2921 for chr3:	RP11-340E6.1
gene 2011/2921 for chr3:	TPT1P3
gene 2012/2921 for chr3:	RP11-144C9.1
gene 2013/2921 for chr3:	RNF7
gene 2014/2921 for chr3:	GRK7
gene 2015/2921 for chr3:	HMGN2P25
gene 2016/2921 for chr3:	ATP1B3
gene 2017/2921 for chr3:	RNU6-509P
gene 2018/2921 for chr3:	ATP1B3-AS1
gene 2019/2921 for chr3:	RP11-271K21.12
gene 2020/2921 for chr3:	TFDP2
gene 2021/2921 for chr3:	RP11-343B5.1
gene 2022/2921 for chr3:	RNU6-425P
gene 2023/2921 for chr3:	GK5
gene 2024/2921 for chr3:	XRN1
gene 2025/2921 for chr3:	RNU6-1294P
gene 2026/2921 for chr3:	RNU1-100P
gene 2027/2921 for chr3:	ATR
gene 2028/2921 for chr3:	RP11-383G6.4
gene 2029/2921 for chr3:	RP11-383G6.3
gene 2030/2921 for chr3:	RPL6P9
gene 2031/2921 for chr3:	RNA5SP143
gene 2032/2921 for chr3:	PLS1
gene 2033/2921 for chr3:	PLS1-AS1
gene 2034/2921 for chr3:	RN7SKP25
gene 2035/2921 for chr3:	TRPC1
gene 2036/2921 for chr3:	RNU7-47P
gene 2037/2921 for chr3:	PCOLCE2
gene 2038/2921 for chr3:	RP11-372E1.1
gene 2039/2921 for chr3:	RP11-372E1.4
gene 2040/2921 for chr3:	PAQR9
gene 2041/2921 for chr3:	RP11-372E1.7
gene 2042/2921 for chr3:	PAQR9-AS1
gene 2043/2921 for chr3:	U2SURP
gene 2044/2921 for chr3:	RP11-91G21.1
gene 2045/2921 for chr3:	RP11-80H8.3
gene 2046/2921 for chr3:	CHST2
gene 2047/2921 for chr3:	RP11-80H8.4
gene 2048/2921 for chr3:	PBX2P1
gene 2049/2921 for chr3:	SLC9A9
gene 2050/2921 for chr3:	RP13-635I23.3
gene 2051/2921 for chr3:	SLC9A9-AS1
gene 2052/2921 for chr3:	SLC9A9-AS2
gene 2053/2921 for chr3:	GAPDHP47
gene 2054/2921 for chr3:	ST13P15
gene 2055/2921 for chr3:	RP11-501M7.1
gene 2056/2921 for chr3:	RP11-8J23.1
gene 2057/2921 for chr3:	C3orf58
gene 2058/2921 for chr3:	RNA5SP144
gene 2059/2921 for chr3:	RP11-42F12.1
gene 2060/2921 for chr3:	LARP7P4
gene 2061/2921 for chr3:	GM2AP1
gene 2062/2921 for chr3:	RPL21P39
gene 2063/2921 for chr3:	RP11-88H10.2
gene 2064/2921 for chr3:	RP11-88H10.3
gene 2065/2921 for chr3:	RP11-274H2.5
gene 2066/2921 for chr3:	RP11-274H2.2
gene 2067/2921 for chr3:	RP11-274H2.3
gene 2068/2921 for chr3:	PLOD2
gene 2069/2921 for chr3:	PLSCR4
gene 2070/2921 for chr3:	RP11-758I14.2
gene 2071/2921 for chr3:	RP11-758I14.3
gene 2072/2921 for chr3:	PLSCR2
gene 2073/2921 for chr3:	RP11-329N15.3
gene 2074/2921 for chr3:	PLSCR1
gene 2075/2921 for chr3:	RNU6-428P
gene 2076/2921 for chr3:	PLSCR5
gene 2077/2921 for chr3:	PLSCR5-AS1
gene 2078/2921 for chr3:	RP11-649A16.1
gene 2079/2921 for chr3:	RP11-232M24.1
gene 2080/2921 for chr3:	RNU6-505P
gene 2081/2921 for chr3:	RPL21P71
gene 2082/2921 for chr3:	ZIC4
gene 2083/2921 for chr3:	ZIC4-AS1
gene 2084/2921 for chr3:	ZIC1
gene 2085/2921 for chr3:	NPM1P28
gene 2086/2921 for chr3:	RP11-78O22.1
gene 2087/2921 for chr3:	RP11-71N10.1
gene 2088/2921 for chr3:	RP11-639B1.1
gene 2089/2921 for chr3:	RP11-501O2.1
gene 2090/2921 for chr3:	RP11-501O2.3
gene 2091/2921 for chr3:	HNRNPA1P20
gene 2092/2921 for chr3:	RP11-501O2.4
gene 2093/2921 for chr3:	RP11-501O2.5
gene 2094/2921 for chr3:	RPL38P1
gene 2095/2921 for chr3:	AGTR1
gene 2096/2921 for chr3:	CPB1
gene 2097/2921 for chr3:	HMGB1P30
gene 2098/2921 for chr3:	RP11-680B3.2
gene 2099/2921 for chr3:	CPA3
gene 2100/2921 for chr3:	UBQLN4P1
gene 2101/2921 for chr3:	GYG1
gene 2102/2921 for chr3:	HLTF
gene 2103/2921 for chr3:	HLTF-AS1
gene 2104/2921 for chr3:	MED28P2
gene 2105/2921 for chr3:	HPS3
gene 2106/2921 for chr3:	CP
gene 2107/2921 for chr3:	CPHL1P
gene 2108/2921 for chr3:	RP11-206M11.7
gene 2109/2921 for chr3:	TM4SF18
gene 2110/2921 for chr3:	RP11-2G17.1
gene 2111/2921 for chr3:	TM4SF1
gene 2112/2921 for chr3:	TM4SF1-AS1
gene 2113/2921 for chr3:	RP11-278L15.2
gene 2114/2921 for chr3:	RP11-167H9.1
gene 2115/2921 for chr3:	RP11-278L15.3
gene 2116/2921 for chr3:	RP11-278L15.7
gene 2117/2921 for chr3:	RP11-278L15.4
gene 2118/2921 for chr3:	TM4SF4
gene 2119/2921 for chr3:	RP11-278L15.6
gene 2120/2921 for chr3:	WWTR1
gene 2121/2921 for chr3:	RNU6-1098P
gene 2122/2921 for chr3:	WWTR1-IT1
gene 2123/2921 for chr3:	WWTR1-AS1
gene 2124/2921 for chr3:	COMMD2
gene 2125/2921 for chr3:	ANKUB1
gene 2126/2921 for chr3:	RNU6-507P
gene 2127/2921 for chr3:	RNF13
gene 2128/2921 for chr3:	RNU6-720P
gene 2129/2921 for chr3:	NPM1P29
gene 2130/2921 for chr3:	PFN2
gene 2131/2921 for chr3:	RP11-651P23.5
gene 2132/2921 for chr3:	RP11-651P23.4
gene 2133/2921 for chr3:	RP11-651P23.2
gene 2134/2921 for chr3:	HNRNPA1P24
gene 2135/2921 for chr3:	RP11-167H9.4
gene 2136/2921 for chr3:	RP11-63E16.1
gene 2137/2921 for chr3:	RP11-167H9.3
gene 2138/2921 for chr3:	RPL32P9
gene 2139/2921 for chr3:	RP11-167H9.5
gene 2140/2921 for chr3:	LINC01213
gene 2141/2921 for chr3:	U2
gene 2142/2921 for chr3:	LINC01214
gene 2143/2921 for chr3:	TSC22D2
gene 2144/2921 for chr3:	SERP1
